id,created_at,vehicle_model,issue,status,completed_at,month
T000630,2023-11-08,E-Sports GT,Battery range reduced,completed,2023-11-09,2023-11
T000631,2023-11-08,E-Compact City,Motor performance issue,open,,2023-11
T000632,2023-11-09,E-Sedan Pro,Display console malfunction,in_progress,,2023-11
T000633,2023-11-10,E-SUV Elite,General maintenance,open,,2023-11
T000634,2023-11-10,E-Sports GT,Display console malfunction,completed,2023-11-13,2023-11
T000635,2023-11-10,E-Sports GT,Tire replacement needed,in_progress,,2023-11
T000636,2023-11-11,E-Sports GT,Brake system check,completed,2023-11-15,2023-11
T000637,2023-11-11,E-Sports GT,Motor performance issue,completed,2023-11-13,2023-11
T000638,2023-11-11,E-Truck Power,Climate control fault,in_progress,,2023-11
T000639,2023-11-11,E-Sports GT,Software update required,completed,2023-11-15,2023-11
T000640,2023-11-12,E-Sports GT,Suspension noise,completed,2023-11-16,2023-11
T000641,2023-11-13,E-Sedan Pro,Brake system check,in_progress,,2023-11
T000642,2023-11-13,E-Sports GT,Motor performance issue,in_progress,,2023-11
T000643,2023-11-13,E-Compact City,Display console malfunction,in_progress,,2023-11
T000644,2023-11-14,E-Sedan Pro,Brake system check,completed,2023-11-16,2023-11
T000645,2023-11-14,E-Truck Power,Display console malfunction,open,,2023-11
T000646,2023-11-14,E-Compact City,Brake system check,completed,2023-11-20,2023-11
T000647,2023-11-15,E-Compact City,Battery range reduced,in_progress,,2023-11
T000648,2023-11-15,E-Sports GT,Display console malfunction,open,,2023-11
T000649,2023-11-15,E-Sedan Pro,Suspension noise,in_progress,,2023-11
T000650,2023-11-15,E-SUV Elite,Brake system check,in_progress,,2023-11
T000651,2023-11-17,E-SUV Elite,Display console malfunction,completed,2023-11-19,2023-11
T000652,2023-11-17,E-Truck Power,Tire replacement needed,in_progress,,2023-11
T000653,2023-11-17,E-Sports GT,Climate control fault,in_progress,,2023-11
T000654,2023-11-18,E-Sports GT,Brake system check,completed,2023-11-21,2023-11
T000655,2023-11-18,E-Sports GT,Battery range reduced,completed,2023-11-22,2023-11
T000656,2023-11-19,E-Truck Power,Software update required,in_progress,,2023-11
T000657,2023-11-19,E-Compact City,Charging port not working,in_progress,,2023-11
T000658,2023-11-19,E-SUV Elite,Tire replacement needed,in_progress,,2023-11
T000659,2023-11-20,E-SUV Elite,Software update required,completed,2023-11-24,2023-11
T000660,2023-11-20,E-Compact City,Brake system check,open,,2023-11
T000661,2023-11-20,E-SUV Elite,Suspension noise,in_progress,,2023-11
T000662,2023-11-21,E-Compact City,Display console malfunction,open,,2023-11
T000663,2023-11-21,E-Truck Power,Climate control fault,open,,2023-11
T000664,2023-11-21,E-Truck Power,Brake system check,completed,2023-11-25,2023-11
T000665,2023-11-22,E-SUV Elite,Brake system check,completed,2023-11-23,2023-11
T000666,2023-11-22,E-SUV Elite,Display console malfunction,in_progress,,2023-11
T000667,2023-11-22,E-Sedan Pro,Brake system check,completed,2023-11-25,2023-11
T000668,2023-11-22,E-Compact City,Climate control fault,completed,2023-11-28,2023-11
T000669,2023-11-23,E-SUV Elite,General maintenance,completed,2023-11-26,2023-11
T000670,2023-11-23,E-Compact City,Charging port not working,open,,2023-11
T000671,2023-11-26,E-SUV Elite,Brake system check,completed,2023-11-28,2023-11
T000672,2023-11-26,E-Compact City,Brake system check,completed,2023-11-29,2023-11
T000673,2023-11-26,E-SUV Elite,Battery range reduced,in_progress,,2023-11
T000674,2023-11-26,E-Sedan Pro,Charging port not working,open,,2023-11
T000675,2023-11-26,E-Truck Power,Battery range reduced,completed,2023-11-28,2023-11
T000676,2023-11-27,E-Truck Power,Tire replacement needed,in_progress,,2023-11
T000677,2023-11-27,E-Sedan Pro,Climate control fault,open,,2023-11
T000678,2023-11-27,E-Sports GT,Tire replacement needed,open,,2023-11
T000679,2023-11-27,E-Truck Power,Climate control fault,completed,2023-11-28,2023-11
T000680,2023-11-27,E-SUV Elite,Tire replacement needed,open,,2023-11
T000681,2023-11-28,E-Truck Power,Climate control fault,open,,2023-11
T000682,2023-11-29,E-SUV Elite,Climate control fault,completed,2023-12-01,2023-11
T000683,2023-11-29,E-Truck Power,Brake system check,in_progress,,2023-11
T000684,2023-11-29,E-Truck Power,Tire replacement needed,completed,2023-12-05,2023-11
T000685,2023-11-29,E-Truck Power,Battery range reduced,open,,2023-11
T000686,2023-11-30,E-Sedan Pro,Software update required,in_progress,,2023-11
T000687,2023-11-30,E-SUV Elite,Suspension noise,in_progress,,2023-11
T000688,2023-11-30,E-SUV Elite,Display console malfunction,completed,2023-12-02,2023-11
T000689,2023-11-30,E-SUV Elite,Motor performance issue,open,,2023-11
T000690,2023-12-01,E-Sports GT,Suspension noise,completed,2023-12-05,2023-12
T000691,2023-12-02,E-Truck Power,Suspension noise,completed,2023-12-05,2023-12
T000692,2023-12-02,E-Truck Power,Suspension noise,completed,2023-12-08,2023-12
T000693,2023-12-02,E-Compact City,Climate control fault,completed,2023-12-08,2023-12
T000694,2023-12-03,E-Compact City,Tire replacement needed,in_progress,,2023-12
T000695,2023-12-04,E-Compact City,Charging port not working,in_progress,,2023-12
T000696,2023-12-04,E-SUV Elite,Tire replacement needed,completed,2023-12-09,2023-12
T000697,2023-12-05,E-SUV Elite,General maintenance,completed,2023-12-08,2023-12
T000698,2023-12-05,E-Compact City,Climate control fault,completed,2023-12-06,2023-12
T000699,2023-12-06,E-SUV Elite,Battery range reduced,in_progress,,2023-12
T000700,2023-12-07,E-Sedan Pro,Motor performance issue,open,,2023-12
T000701,2023-12-07,E-SUV Elite,Brake system check,completed,2023-12-10,2023-12
T000702,2023-12-07,E-Compact City,Motor performance issue,in_progress,,2023-12
T000703,2023-12-08,E-Truck Power,Charging port not working,open,,2023-12
T000704,2023-12-08,E-Sports GT,Display console malfunction,completed,2023-12-13,2023-12
T000705,2023-12-09,E-SUV Elite,Suspension noise,in_progress,,2023-12
T000706,2023-12-09,E-Compact City,Climate control fault,open,,2023-12
T000707,2023-12-09,E-Sedan Pro,Charging port not working,open,,2023-12
T000708,2023-12-09,E-Compact City,Tire replacement needed,completed,2023-12-11,2023-12
T000709,2023-12-09,E-Compact City,Brake system check,open,,2023-12
T000710,2023-12-09,E-Sedan Pro,Tire replacement needed,in_progress,,2023-12
T000711,2023-12-10,E-Sedan Pro,Charging port not working,completed,2023-12-12,2023-12
T000712,2023-12-10,E-Sedan Pro,Battery range reduced,in_progress,,2023-12
T000713,2023-12-10,E-Compact City,Climate control fault,open,,2023-12
T000714,2023-12-11,E-Sports GT,Software update required,completed,2023-12-13,2023-12
T000715,2023-12-11,E-Compact City,Battery range reduced,completed,2023-12-15,2023-12
T000716,2023-12-12,E-Sports GT,General maintenance,in_progress,,2023-12
T000717,2023-12-13,E-Sports GT,Charging port not working,completed,2023-12-16,2023-12
T000718,2023-12-13,E-Compact City,Suspension noise,completed,2023-12-18,2023-12
T000719,2023-12-13,E-Sports GT,Display console malfunction,completed,2023-12-16,2023-12
T000720,2023-12-13,E-SUV Elite,Suspension noise,in_progress,,2023-12
T000721,2023-12-13,E-Sedan Pro,General maintenance,completed,2023-12-17,2023-12
T000722,2023-12-14,E-Sports GT,Software update required,open,,2023-12
T000723,2023-12-15,E-Compact City,Suspension noise,in_progress,,2023-12
T000724,2023-12-15,E-Sedan Pro,Display console malfunction,completed,2023-12-21,2023-12
T000725,2023-12-16,E-SUV Elite,Software update required,in_progress,,2023-12
T000726,2023-12-16,E-Compact City,Software update required,completed,2023-12-17,2023-12
T000727,2023-12-16,E-Sedan Pro,Software update required,completed,2023-12-20,2023-12
T000728,2023-12-16,E-SUV Elite,Charging port not working,open,,2023-12
T000729,2023-12-17,E-Sedan Pro,Charging port not working,in_progress,,2023-12
T000730,2023-12-17,E-Sports GT,Motor performance issue,in_progress,,2023-12
T000731,2023-12-18,E-Truck Power,Software update required,completed,2023-12-22,2023-12
T000732,2023-12-18,E-Truck Power,Climate control fault,completed,2023-12-22,2023-12
T000733,2023-12-18,E-Truck Power,Brake system check,completed,2023-12-22,2023-12
T000734,2023-12-18,E-Sedan Pro,Brake system check,completed,2023-12-24,2023-12
T000735,2023-12-18,E-Sports GT,Suspension noise,completed,2023-12-19,2023-12
T000736,2023-12-19,E-Sports GT,Motor performance issue,in_progress,,2023-12
T000737,2023-12-20,E-Sports GT,General maintenance,open,,2023-12
T000738,2023-12-20,E-Compact City,Motor performance issue,completed,2023-12-22,2023-12
T000739,2023-12-20,E-Sports GT,Brake system check,in_progress,,2023-12
T000740,2023-12-21,E-Truck Power,Software update required,completed,2023-12-23,2023-12
T000741,2023-12-22,E-SUV Elite,Brake system check,completed,2023-12-28,2023-12
T000742,2023-12-22,E-Truck Power,Brake system check,in_progress,,2023-12
T000743,2023-12-23,E-Sports GT,Software update required,completed,2023-12-26,2023-12
T000744,2023-12-23,E-Sedan Pro,Software update required,completed,2023-12-29,2023-12
T000745,2023-12-24,E-Sedan Pro,Charging port not working,completed,2023-12-25,2023-12
T000746,2023-12-25,E-Sedan Pro,Brake system check,in_progress,,2023-12
T000747,2023-12-25,E-Sedan Pro,Software update required,completed,2023-12-27,2023-12
T000748,2023-12-26,E-Sedan Pro,General maintenance,completed,2023-12-31,2023-12
T000749,2023-12-26,E-SUV Elite,Brake system check,completed,2023-12-31,2023-12
T000750,2023-12-26,E-Sedan Pro,Charging port not working,open,,2023-12
T000751,2023-12-27,E-Truck Power,Climate control fault,completed,2024-01-02,2023-12
T000752,2023-12-28,E-Compact City,Display console malfunction,in_progress,,2023-12
T000753,2023-12-28,E-Sports GT,Motor performance issue,completed,2023-12-29,2023-12
T000754,2023-12-28,E-Compact City,Suspension noise,completed,2023-12-30,2023-12
T000755,2023-12-29,E-Sports GT,Battery range reduced,in_progress,,2023-12
T000756,2023-12-29,E-Compact City,Battery range reduced,completed,2024-01-03,2023-12
T000757,2023-12-30,E-Compact City,Software update required,in_progress,,2023-12
T000758,2023-12-30,E-Truck Power,Climate control fault,open,,2023-12
T000759,2023-12-30,E-Sports GT,Brake system check,in_progress,,2023-12
T000760,2023-12-31,E-SUV Elite,Brake system check,completed,2024-01-03,2023-12
T000761,2023-12-31,E-Sports GT,General maintenance,in_progress,,2023-12
T000762,2024-01-01,E-Compact City,Display console malfunction,completed,2024-01-02,2024-01
T000763,2024-01-01,E-Compact City,General maintenance,in_progress,,2024-01
T000764,2024-01-01,E-Sports GT,Tire replacement needed,completed,2024-01-02,2024-01
T000765,2024-01-01,E-SUV Elite,Battery range reduced,in_progress,,2024-01
T000766,2024-01-01,E-Sports GT,Suspension noise,completed,2024-01-03,2024-01
T000767,2024-01-02,E-Truck Power,Charging port not working,in_progress,,2024-01
T000768,2024-01-02,E-Compact City,Battery range reduced,completed,2024-01-06,2024-01
T000769,2024-01-02,E-Sedan Pro,Climate control fault,completed,2024-01-04,2024-01
T000770,2024-01-02,E-Truck Power,Battery range reduced,completed,2024-01-06,2024-01
T000771,2024-01-02,E-Truck Power,Suspension noise,completed,2024-01-06,2024-01
T000772,2024-01-03,E-Sedan Pro,Display console malfunction,completed,2024-01-06,2024-01
T000773,2024-01-04,E-Truck Power,Tire replacement needed,open,,2024-01
T000774,2024-01-04,E-Compact City,Tire replacement needed,completed,2024-01-09,2024-01
T000775,2024-01-05,E-Sedan Pro,Brake system check,in_progress,,2024-01
T000776,2024-01-05,E-Sports GT,Brake system check,open,,2024-01
T000777,2024-01-05,E-Compact City,Software update required,completed,2024-01-11,2024-01
T000778,2024-01-07,E-Sedan Pro,Software update required,completed,2024-01-12,2024-01
T000779,2024-01-08,E-Sedan Pro,Motor performance issue,completed,2024-01-10,2024-01
T000780,2024-01-08,E-Sedan Pro,Climate control fault,in_progress,,2024-01
T000781,2024-01-09,E-Compact City,Tire replacement needed,completed,2024-01-13,2024-01
T000782,2024-01-11,E-Truck Power,Battery range reduced,in_progress,,2024-01
T000783,2024-01-11,E-Truck Power,Brake system check,open,,2024-01
T000784,2024-01-11,E-Truck Power,Battery range reduced,in_progress,,2024-01
T000785,2024-01-12,E-SUV Elite,Display console malfunction,completed,2024-01-18,2024-01
T000786,2024-01-12,E-Compact City,Charging port not working,open,,2024-01
T000787,2024-01-12,E-Sports GT,Display console malfunction,completed,2024-01-17,2024-01
T000788,2024-01-12,E-Compact City,Software update required,completed,2024-01-14,2024-01
T000789,2024-01-13,E-Sedan Pro,Charging port not working,completed,2024-01-17,2024-01
T000790,2024-01-13,E-Truck Power,General maintenance,completed,2024-01-15,2024-01
T000791,2024-01-14,E-Truck Power,Tire replacement needed,open,,2024-01
T000792,2024-01-14,E-SUV Elite,Charging port not working,completed,2024-01-16,2024-01
T000793,2024-01-14,E-SUV Elite,Motor performance issue,in_progress,,2024-01
T000794,2024-01-14,E-Truck Power,Climate control fault,completed,2024-01-17,2024-01
T000795,2024-01-15,E-Truck Power,Climate control fault,completed,2024-01-17,2024-01
T000796,2024-01-15,E-Sports GT,Tire replacement needed,completed,2024-01-20,2024-01
T000797,2024-01-16,E-Truck Power,Climate control fault,completed,2024-01-21,2024-01
T000798,2024-01-16,E-Sedan Pro,General maintenance,completed,2024-01-17,2024-01
T000799,2024-01-17,E-SUV Elite,Charging port not working,in_progress,,2024-01
T000800,2024-01-17,E-Sports GT,Brake system check,in_progress,,2024-01
T000801,2024-01-17,E-SUV Elite,Motor performance issue,completed,2024-01-21,2024-01
T000802,2024-01-19,E-Sports GT,Tire replacement needed,completed,2024-01-21,2024-01
T000803,2024-01-19,E-Sedan Pro,Battery range reduced,completed,2024-01-20,2024-01
T000804,2024-01-19,E-Truck Power,Software update required,in_progress,,2024-01
T000805,2024-01-20,E-Sports GT,Display console malfunction,completed,2024-01-21,2024-01
T000806,2024-01-20,E-Sports GT,Software update required,completed,2024-01-23,2024-01
T000807,2024-01-20,E-Sedan Pro,Tire replacement needed,in_progress,,2024-01
T000808,2024-01-20,E-SUV Elite,Brake system check,in_progress,,2024-01
T000809,2024-01-20,E-Compact City,Brake system check,in_progress,,2024-01
T000810,2024-01-21,E-Sedan Pro,Climate control fault,completed,2024-01-24,2024-01
T000811,2024-01-21,E-Sedan Pro,Climate control fault,in_progress,,2024-01
T000812,2024-01-22,E-Sedan Pro,Software update required,open,,2024-01
T000813,2024-01-23,E-SUV Elite,Climate control fault,completed,2024-01-29,2024-01
T000814,2024-01-23,E-Truck Power,Motor performance issue,in_progress,,2024-01
T000815,2024-01-24,E-SUV Elite,Suspension noise,completed,2024-01-28,2024-01
T000816,2024-01-24,E-Sports GT,Charging port not working,in_progress,,2024-01
T000817,2024-01-25,E-Sports GT,Brake system check,completed,2024-01-30,2024-01
T000818,2024-01-25,E-Sedan Pro,Charging port not working,open,,2024-01
T000819,2024-01-26,E-Compact City,Climate control fault,open,,2024-01
T000820,2024-01-26,E-Truck Power,Tire replacement needed,open,,2024-01
T000821,2024-01-26,E-SUV Elite,Battery range reduced,open,,2024-01
T000822,2024-01-26,E-Truck Power,Display console malfunction,completed,2024-01-29,2024-01
T000823,2024-01-26,E-Truck Power,Display console malfunction,in_progress,,2024-01
T000824,2024-01-27,E-Compact City,General maintenance,completed,2024-02-01,2024-01
T000825,2024-01-27,E-Compact City,Suspension noise,open,,2024-01
T000826,2024-01-27,E-Compact City,Tire replacement needed,completed,2024-01-28,2024-01
T000827,2024-01-27,E-Truck Power,General maintenance,open,,2024-01
T000828,2024-01-29,E-Compact City,Tire replacement needed,in_progress,,2024-01
T000829,2024-01-30,E-SUV Elite,Motor performance issue,open,,2024-01
T000830,2024-01-30,E-Truck Power,General maintenance,in_progress,,2024-01
T000831,2024-01-31,E-Compact City,Tire replacement needed,completed,2024-02-03,2024-01
T000832,2024-01-31,E-Sedan Pro,Display console malfunction,completed,2024-02-04,2024-01
T000833,2024-02-01,E-SUV Elite,Display console malfunction,open,,2024-02
T000834,2024-02-01,E-SUV Elite,Display console malfunction,completed,2024-02-03,2024-02
T000835,2024-02-01,E-Compact City,Suspension noise,completed,2024-02-04,2024-02
T000836,2024-02-01,E-Compact City,Suspension noise,completed,2024-02-06,2024-02
T000837,2024-02-04,E-Sedan Pro,Climate control fault,in_progress,,2024-02
T000838,2024-02-04,E-Sedan Pro,General maintenance,completed,2024-02-09,2024-02
T000839,2024-02-04,E-Sedan Pro,Motor performance issue,in_progress,,2024-02
T000840,2024-02-05,E-Sedan Pro,Battery range reduced,completed,2024-02-06,2024-02
T000841,2024-02-06,E-Truck Power,Brake system check,completed,2024-02-11,2024-02
T000842,2024-02-06,E-Truck Power,Brake system check,open,,2024-02
T000843,2024-02-07,E-Compact City,Battery range reduced,completed,2024-02-10,2024-02
T000844,2024-02-08,E-SUV Elite,Climate control fault,in_progress,,2024-02
T000845,2024-02-09,E-Sedan Pro,Brake system check,completed,2024-02-13,2024-02
T000846,2024-02-09,E-Compact City,Battery range reduced,in_progress,,2024-02
T000847,2024-02-09,E-Sedan Pro,Software update required,in_progress,,2024-02
T000848,2024-02-10,E-Sedan Pro,Motor performance issue,completed,2024-02-13,2024-02
T000849,2024-02-10,E-SUV Elite,Climate control fault,completed,2024-02-14,2024-02
T000850,2024-02-11,E-Compact City,Brake system check,completed,2024-02-17,2024-02
T000851,2024-02-11,E-Truck Power,General maintenance,completed,2024-02-16,2024-02
T000852,2024-02-11,E-Sedan Pro,Climate control fault,completed,2024-02-12,2024-02
T000853,2024-02-12,E-Sedan Pro,Suspension noise,in_progress,,2024-02
T000854,2024-02-13,E-Truck Power,General maintenance,completed,2024-02-15,2024-02
T000855,2024-02-14,E-Truck Power,Motor performance issue,completed,2024-02-20,2024-02
T000856,2024-02-15,E-Compact City,Charging port not working,completed,2024-02-20,2024-02
T000857,2024-02-16,E-SUV Elite,Brake system check,completed,2024-02-22,2024-02
T000858,2024-02-16,E-Compact City,Tire replacement needed,completed,2024-02-17,2024-02
T000859,2024-02-17,E-Compact City,Suspension noise,in_progress,,2024-02
T000860,2024-02-18,E-Sports GT,Battery range reduced,completed,2024-02-21,2024-02
T000861,2024-02-18,E-Sports GT,Suspension noise,completed,2024-02-22,2024-02
T000862,2024-02-19,E-Truck Power,Battery range reduced,open,,2024-02
T000863,2024-02-19,E-Compact City,Tire replacement needed,completed,2024-02-20,2024-02
T000864,2024-02-20,E-Compact City,Battery range reduced,open,,2024-02
T000865,2024-02-20,E-SUV Elite,Tire replacement needed,completed,2024-02-23,2024-02
T000866,2024-02-21,E-Sedan Pro,Display console malfunction,in_progress,,2024-02
T000867,2024-02-21,E-Compact City,Suspension noise,open,,2024-02
T000868,2024-02-21,E-Compact City,Climate control fault,in_progress,,2024-02
T000869,2024-02-21,E-Sedan Pro,Climate control fault,in_progress,,2024-02
T000870,2024-02-22,E-Compact City,Brake system check,open,,2024-02
T000871,2024-02-22,E-Sports GT,Brake system check,open,,2024-02
T000872,2024-02-22,E-SUV Elite,Battery range reduced,completed,2024-02-27,2024-02
T000873,2024-02-22,E-SUV Elite,Climate control fault,completed,2024-02-24,2024-02
T000874,2024-02-22,E-Sedan Pro,Software update required,in_progress,,2024-02
T000875,2024-02-23,E-Sports GT,Tire replacement needed,in_progress,,2024-02
T000876,2024-02-24,E-Sports GT,Motor performance issue,completed,2024-02-28,2024-02
T000877,2024-02-24,E-SUV Elite,Software update required,open,,2024-02
T000878,2024-02-24,E-Sports GT,Suspension noise,in_progress,,2024-02
T000879,2024-02-25,E-Compact City,Tire replacement needed,in_progress,,2024-02
T000880,2024-02-26,E-Truck Power,General maintenance,completed,2024-02-28,2024-02
T000881,2024-02-26,E-Truck Power,Software update required,completed,2024-02-27,2024-02
T000882,2024-02-26,E-Truck Power,Motor performance issue,open,,2024-02
T000883,2024-02-26,E-Sports GT,General maintenance,open,,2024-02
T000884,2024-02-27,E-SUV Elite,Brake system check,in_progress,,2024-02
T000885,2024-02-27,E-Truck Power,Software update required,open,,2024-02
T000886,2024-02-27,E-SUV Elite,Suspension noise,completed,2024-03-01,2024-02
T000887,2024-02-28,E-Sedan Pro,Climate control fault,completed,2024-03-03,2024-02
T000888,2024-02-28,E-SUV Elite,Motor performance issue,open,,2024-02
T000889,2024-02-28,E-Truck Power,Software update required,completed,2024-03-04,2024-02
T000890,2024-02-28,E-Sports GT,Battery range reduced,open,,2024-02
T000891,2024-02-29,E-Sports GT,General maintenance,open,,2024-02
T000892,2024-03-01,E-SUV Elite,Suspension noise,completed,2024-03-05,2024-03
T000893,2024-03-01,E-Sports GT,Climate control fault,in_progress,,2024-03
T000894,2024-03-01,E-Compact City,Brake system check,completed,2024-03-06,2024-03
T000895,2024-03-02,E-Sedan Pro,Software update required,completed,2024-03-08,2024-03
T000896,2024-03-02,E-Sedan Pro,Suspension noise,open,,2024-03
T000897,2024-03-02,E-Sedan Pro,Suspension noise,completed,2024-03-07,2024-03
T000898,2024-03-02,E-Sports GT,Charging port not working,open,,2024-03
T000899,2024-03-02,E-SUV Elite,General maintenance,open,,2024-03
T000900,2024-03-02,E-Truck Power,Suspension noise,open,,2024-03
T000901,2024-03-03,E-Truck Power,General maintenance,in_progress,,2024-03
T000902,2024-03-03,E-Sedan Pro,Tire replacement needed,completed,2024-03-08,2024-03
T000903,2024-03-03,E-Compact City,Battery range reduced,in_progress,,2024-03
T000904,2024-03-03,E-SUV Elite,Suspension noise,in_progress,,2024-03
T000905,2024-03-03,E-SUV Elite,Display console malfunction,open,,2024-03
T000906,2024-03-03,E-Sedan Pro,Brake system check,open,,2024-03
T000907,2024-03-03,E-Compact City,Display console malfunction,completed,2024-03-08,2024-03
T000908,2024-03-03,E-Sedan Pro,Battery range reduced,completed,2024-03-08,2024-03
T000909,2024-03-04,E-Sports GT,General maintenance,completed,2024-03-06,2024-03
T000910,2024-03-04,E-Truck Power,Suspension noise,completed,2024-03-09,2024-03
T000911,2024-03-04,E-SUV Elite,Display console malfunction,completed,2024-03-07,2024-03
T000912,2024-03-04,E-Truck Power,General maintenance,open,,2024-03
T000913,2024-03-05,E-Sports GT,Software update required,completed,2024-03-08,2024-03
T000914,2024-03-05,E-Sports GT,Brake system check,in_progress,,2024-03
T000915,2024-03-06,E-Sports GT,Charging port not working,completed,2024-03-09,2024-03
T000916,2024-03-06,E-Sports GT,General maintenance,open,,2024-03
T000917,2024-03-06,E-Compact City,Suspension noise,in_progress,,2024-03
T000918,2024-03-06,E-Sports GT,Charging port not working,open,,2024-03
T000919,2024-03-06,E-SUV Elite,Charging port not working,completed,2024-03-07,2024-03
T000920,2024-03-07,E-Compact City,Brake system check,open,,2024-03
T000921,2024-03-07,E-SUV Elite,Tire replacement needed,open,,2024-03
T000922,2024-03-07,E-Compact City,Motor performance issue,open,,2024-03
T000923,2024-03-08,E-Sedan Pro,Software update required,open,,2024-03
T000924,2024-03-09,E-Truck Power,General maintenance,in_progress,,2024-03
T000925,2024-03-10,E-Truck Power,Tire replacement needed,completed,2024-03-12,2024-03
T000926,2024-03-10,E-Sports GT,Motor performance issue,completed,2024-03-11,2024-03
T000927,2024-03-10,E-Compact City,Battery range reduced,in_progress,,2024-03
T000928,2024-03-10,E-Truck Power,Suspension noise,open,,2024-03
T000929,2024-03-10,E-Truck Power,Climate control fault,completed,2024-03-13,2024-03
T000930,2024-03-11,E-Sedan Pro,Tire replacement needed,completed,2024-03-13,2024-03
T000931,2024-03-11,E-Sports GT,Brake system check,open,,2024-03
T000932,2024-03-11,E-Sports GT,Charging port not working,completed,2024-03-15,2024-03
T000933,2024-03-12,E-Sedan Pro,Climate control fault,in_progress,,2024-03
T000934,2024-03-12,E-Sedan Pro,Tire replacement needed,completed,2024-03-17,2024-03
T000935,2024-03-12,E-SUV Elite,Software update required,completed,2024-03-15,2024-03
T000936,2024-03-13,E-Sedan Pro,Suspension noise,completed,2024-03-14,2024-03
T000937,2024-03-13,E-SUV Elite,Battery range reduced,completed,2024-03-16,2024-03
T000938,2024-03-13,E-Compact City,Battery range reduced,completed,2024-03-19,2024-03
T000939,2024-03-13,E-Truck Power,Display console malfunction,completed,2024-03-14,2024-03
T000940,2024-03-13,E-SUV Elite,Software update required,completed,2024-03-17,2024-03
T000941,2024-03-14,E-SUV Elite,Brake system check,completed,2024-03-18,2024-03
T000942,2024-03-14,E-SUV Elite,Battery range reduced,in_progress,,2024-03
T000943,2024-03-14,E-Sedan Pro,Motor performance issue,completed,2024-03-19,2024-03
T000944,2024-03-14,E-Sedan Pro,General maintenance,completed,2024-03-15,2024-03
T000945,2024-03-14,E-Sports GT,Display console malfunction,in_progress,,2024-03
T000946,2024-03-14,E-SUV Elite,Display console malfunction,completed,2024-03-17,2024-03
T000947,2024-03-14,E-Sedan Pro,Software update required,completed,2024-03-18,2024-03
T000948,2024-03-14,E-Truck Power,Tire replacement needed,open,,2024-03
T000949,2024-03-15,E-SUV Elite,General maintenance,completed,2024-03-18,2024-03
T000950,2024-03-15,E-Sports GT,Software update required,completed,2024-03-18,2024-03
T000951,2024-03-16,E-SUV Elite,Suspension noise,open,,2024-03
T000952,2024-03-17,E-Sports GT,Software update required,in_progress,,2024-03
T000953,2024-03-17,E-Sports GT,Display console malfunction,completed,2024-03-22,2024-03
T000954,2024-03-17,E-Compact City,Battery range reduced,in_progress,,2024-03
T000955,2024-03-17,E-Truck Power,Charging port not working,in_progress,,2024-03
T000956,2024-03-18,E-Truck Power,General maintenance,in_progress,,2024-03
T000957,2024-03-18,E-Sedan Pro,Software update required,in_progress,,2024-03
T000958,2024-03-18,E-SUV Elite,Charging port not working,completed,2024-03-22,2024-03
T000959,2024-03-19,E-Compact City,Battery range reduced,in_progress,,2024-03
T000960,2024-03-19,E-Truck Power,Brake system check,in_progress,,2024-03
T000961,2024-03-20,E-Truck Power,Motor performance issue,open,,2024-03
T000962,2024-03-21,E-Sedan Pro,General maintenance,in_progress,,2024-03
T000963,2024-03-21,E-Sedan Pro,Brake system check,open,,2024-03
T000964,2024-03-21,E-Sports GT,Suspension noise,open,,2024-03
T000965,2024-03-22,E-Sports GT,Brake system check,in_progress,,2024-03
T000966,2024-03-22,E-SUV Elite,Charging port not working,open,,2024-03
T000967,2024-03-22,E-SUV Elite,Climate control fault,completed,2024-03-25,2024-03
T000968,2024-03-22,E-SUV Elite,Brake system check,completed,2024-03-26,2024-03
T000969,2024-03-23,E-Compact City,Battery range reduced,in_progress,,2024-03
T000970,2024-03-23,E-Sedan Pro,Tire replacement needed,in_progress,,2024-03
T000971,2024-03-23,E-Sports GT,Climate control fault,in_progress,,2024-03
T000972,2024-03-24,E-Sports GT,Climate control fault,completed,2024-03-29,2024-03
T000973,2024-03-24,E-Sports GT,Suspension noise,completed,2024-03-28,2024-03
T000974,2024-03-24,E-Truck Power,Suspension noise,in_progress,,2024-03
T000975,2024-03-25,E-Truck Power,Motor performance issue,completed,2024-03-29,2024-03
T000976,2024-03-25,E-Sedan Pro,General maintenance,open,,2024-03
T000977,2024-03-25,E-Sports GT,Software update required,completed,2024-03-31,2024-03
T000978,2024-03-25,E-Sedan Pro,Brake system check,open,,2024-03
T000979,2024-03-26,E-Sedan Pro,Software update required,completed,2024-03-31,2024-03
T000980,2024-03-26,E-Sedan Pro,Software update required,in_progress,,2024-03
T000981,2024-03-26,E-Sedan Pro,Suspension noise,completed,2024-03-31,2024-03
T000982,2024-03-28,E-Sports GT,Motor performance issue,completed,2024-03-30,2024-03
T000983,2024-03-28,E-Sedan Pro,Brake system check,open,,2024-03
T000984,2024-03-28,E-Truck Power,General maintenance,completed,2024-03-29,2024-03
T000985,2024-03-29,E-Sports GT,Tire replacement needed,completed,2024-04-02,2024-03
T000986,2024-03-29,E-Truck Power,Charging port not working,open,,2024-03
T000987,2024-03-29,E-Sports GT,General maintenance,completed,2024-04-01,2024-03
T000988,2024-03-30,E-Sedan Pro,Brake system check,in_progress,,2024-03
T000989,2024-03-30,E-Sedan Pro,Display console malfunction,open,,2024-03
